category,amount,best_card_logic,actual_card,cb_Ace_Credit_Card,cb_Amazon_Pay_Credit_Card,cb_BPCL_Octane_Credit_Card,cb_BankBazaar_Credit_Card,cb_Cashback_Credit_Card,cb_Coral_Credit_Card,cb_Diners_Club_Black,cb_Elite_Credit_Card,cb_Emerald_Private_Metal,cb_First_Classic_Credit_Card,cb_First_Wealth_Credit_Card,cb_Flipkart_Axis_Bank_Credit_Card,cb_HPCL_Super_Saver_Credit_Card,cb_League_Platinum_Credit_Card,cb_Magnus_Credit_Card,cb_Millennia_Credit_Card,cb_My_Zone_Credit_Card,cb_PVR_Platinum_Credit_Card,cb_Regalia_Gold,cb_SimplyCLICK_Credit_Card,cb_SimplySAVE_Credit_Card,cb_Super_Value_Titanium_Credit_Card,cb_Tata_Neu_Infinity_Credit_Card,cb_Vistara_Infinite_Credit_Card,cb_White_Credit_Card,cb_YES_First_Business_Credit_Card
travel,19028.27,Diners Club Black,Diners Club Black,95.1414,95.1414,47.5707,95.1414,95.1414,47.5707,285.424,95.1414,199.7968,95.1414,118.9267,95.1414,47.5707,71.356,142.712,95.1414,23.7853,23.7853,142.712,95.1414,95.1414,95.1414,95.1414,237.8534,95.1414,71.356
dining,3920.9,Cashback Credit Card,Flipkart Axis Bank Credit Card,39.209,19.6045,9.8023,19.6045,78.418,9.8023,39.209,9.8023,27.4463,19.6045,14.7034,19.6045,9.8023,9.8023,14.7034,39.209,9.8023,9.8023,19.6045,39.209,39.209,39.209,39.209,19.6045,9.8023,9.8023
shopping,10203.03,Millennia Credit Card,Millennia Credit Card,102.0303,306.0909,25.5076,51.0152,204.0606,25.5076,51.0152,25.5076,35.7106,51.0152,25.5076,306.0909,25.5076,25.5076,25.5076,306.0909,38.2614,51.0152,25.5076,306.0909,102.0303,102.0303,306.0909,25.5076,25.5076,51.0152
groceries,851.18,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card,8.5118,8.5118,2.1279,4.2559,8.5118,2.1279,2.1279,1.064,1.4896,4.2559,1.064,8.5118,2.1279,1.064,1.064,8.5118,1.064,1.064,1.064,12.7677,8.5118,8.5118,17.0236,2.1279,1.064,1.064
groceries,2707.88,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card,27.0788,27.0788,6.7697,13.5394,27.0788,6.7697,6.7697,3.3849,4.7388,13.5394,3.3849,27.0788,6.7697,3.3849,3.3849,27.0788,3.3849,3.3849,3.3849,40.6182,27.0788,27.0788,54.1576,6.7697,3.3849,3.3849
travel,3698.83,Diners Club Black,Diners Club Black,18.4942,18.4942,9.2471,18.4942,18.4942,9.2471,55.4825,18.4942,38.8377,18.4942,23.1177,18.4942,9.2471,13.8706,27.7412,18.4942,4.6235,4.6235,27.7412,18.4942,18.4942,18.4942,18.4942,46.2354,18.4942,13.8706
groceries,16199.97,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card,161.9997,161.9997,40.4999,80.9998,161.9997,40.4999,40.4999,20.25,28.3499,80.9998,20.25,161.9997,40.4999,20.25,20.25,161.9997,20.25,20.25,20.25,242.9995,161.9997,161.9997,323.9994,40.4999,20.25,20.25
dining,969.48,Cashback Credit Card,Cashback Credit Card,9.6948,4.8474,2.4237,4.8474,19.3896,2.4237,9.6948,2.4237,6.7864,4.8474,3.6356,4.8474,2.4237,2.4237,3.6356,9.6948,2.4237,2.4237,4.8474,9.6948,9.6948,9.6948,9.6948,4.8474,2.4237,2.4237
travel,19394.81,Diners Club Black,Diners Club Black,96.9741,96.9741,48.487,96.9741,96.9741,48.487,290.9222,96.9741,203.6455,96.9741,121.2176,96.9741,48.487,72.7305,145.4611,96.9741,24.2435,24.2435,145.4611,96.9741,96.9741,96.9741,96.9741,242.4351,96.9741,72.7305
dining,4756.66,Cashback Credit Card,Cashback Credit Card,47.5666,23.7833,11.8917,23.7833,95.1332,11.8917,47.5666,11.8917,33.2966,23.7833,17.8375,23.7833,11.8917,11.8917,17.8375,47.5666,11.8917,11.8917,23.7833,47.5666,47.5666,47.5666,47.5666,23.7833,11.8917,11.8917
dining,18089.09,Cashback Credit Card,Cashback Credit Card,180.8909,90.4454,45.2227,90.4454,361.7818,45.2227,180.8909,45.2227,126.6236,90.4454,67.8341,90.4454,45.2227,45.2227,67.8341,180.8909,45.2227,45.2227,90.4454,180.8909,180.8909,180.8909,180.8909,90.4454,45.2227,45.2227
groceries,19690.35,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card,196.9035,196.9035,49.2259,98.4517,196.9035,49.2259,49.2259,24.6129,34.4581,98.4517,24.6129,196.9035,49.2259,24.6129,24.6129,196.9035,24.6129,24.6129,24.6129,295.3552,196.9035,196.9035,393.807,49.2259,24.6129,24.6129
fuel,15584.67,BPCL Octane Credit Card,BPCL Octane Credit Card,77.9233,77.9233,389.6168,77.9233,77.9233,19.4808,38.9617,19.4808,27.2732,77.9233,19.4808,77.9233,311.6934,19.4808,19.4808,77.9233,19.4808,19.4808,19.4808,77.9233,77.9233,77.9233,77.9233,38.9617,19.4808,19.4808
dining,19328.74,Cashback Credit Card,Amazon Pay Credit Card,193.2874,96.6437,48.3219,96.6437,386.5748,48.3219,193.2874,48.3219,135.3012,96.6437,72.4828,96.6437,48.3219,48.3219,72.4828,193.2874,48.3219,48.3219,96.6437,193.2874,193.2874,193.2874,193.2874,96.6437,48.3219,48.3219
fuel,1138.38,BPCL Octane Credit Card,BPCL Octane Credit Card,5.6919,5.6919,28.4595,5.6919,5.6919,1.423,2.846,1.423,1.9922,5.6919,1.423,5.6919,22.7676,1.423,1.423,5.6919,1.423,1.423,1.423,5.6919,5.6919,5.6919,5.6919,2.846,1.423,1.423
fuel,11135.36,BPCL Octane Credit Card,BPCL Octane Credit Card,55.6768,55.6768,278.384,55.6768,55.6768,13.9192,27.8384,13.9192,19.4869,55.6768,13.9192,55.6768,222.7072,13.9192,13.9192,55.6768,13.9192,13.9192,13.9192,55.6768,55.6768,55.6768,55.6768,27.8384,13.9192,13.9192
groceries,17038.2,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card,170.382,170.382,42.5955,85.191,170.382,42.5955,42.5955,21.2978,29.8168,85.191,21.2978,170.382,42.5955,21.2978,21.2978,170.382,21.2978,21.2978,21.2978,255.573,170.382,170.382,340.764,42.5955,21.2978,21.2978
travel,5528.55,Diners Club Black,PVR Platinum Credit Card,27.6427,27.6427,13.8214,27.6427,27.6427,13.8214,82.9283,27.6427,58.0498,27.6427,34.5534,27.6427,13.8214,20.7321,41.4641,27.6427,6.9107,6.9107,41.4641,27.6427,27.6427,27.6427,27.6427,69.1069,27.6427,20.7321
shopping,18933.62,Millennia Credit Card,Millennia Credit Card,189.3362,568.0086,47.334,94.6681,378.6724,47.334,94.6681,47.334,66.2677,94.6681,47.334,568.0086,47.334,47.334,47.334,568.0086,71.0011,94.6681,47.334,568.0086,189.3362,189.3362,568.0086,47.334,47.334,94.6681
dining,17704.13,Cashback Credit Card,League Platinum Credit Card,177.0413,88.5207,44.2603,88.5207,354.0826,44.2603,177.0413,44.2603,123.9289,88.5207,66.3905,88.5207,44.2603,44.2603,66.3905,177.0413,44.2603,44.2603,88.5207,177.0413,177.0413,177.0413,177.0413,88.5207,44.2603,44.2603
groceries,7541.83,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card,75.4183,75.4183,18.8546,37.7092,75.4183,18.8546,18.8546,9.4273,13.1982,37.7092,9.4273,75.4183,18.8546,9.4273,9.4273,75.4183,9.4273,9.4273,9.4273,113.1274,75.4183,75.4183,150.8366,18.8546,9.4273,9.4273
shopping,7560.76,Millennia Credit Card,Millennia Credit Card,75.6076,226.8228,18.9019,37.8038,151.2152,18.9019,37.8038,18.9019,26.4627,37.8038,18.9019,226.8228,18.9019,18.9019,18.9019,226.8228,28.3529,37.8038,18.9019,226.8228,75.6076,75.6076,226.8228,18.9019,18.9019,37.8038
shopping,16799.61,Millennia Credit Card,Millennia Credit Card,167.9961,503.9883,41.999,83.9981,335.9922,41.999,83.9981,41.999,58.7986,83.9981,41.999,503.9883,41.999,41.999,41.999,503.9883,62.9985,83.9981,41.999,503.9883,167.9961,167.9961,503.9883,41.999,41.999,83.9981
travel,2838.23,Diners Club Black,Diners Club Black,14.1912,14.1912,7.0956,14.1912,14.1912,7.0956,42.5735,14.1912,29.8014,14.1912,17.7389,14.1912,7.0956,10.6434,21.2867,14.1912,3.5478,3.5478,21.2867,14.1912,14.1912,14.1912,14.1912,35.4779,14.1912,10.6434
dining,13951.83,Cashback Credit Card,Cashback Credit Card,139.5183,69.7592,34.8796,69.7592,279.0366,34.8796,139.5183,34.8796,97.6628,69.7592,52.3194,69.7592,34.8796,34.8796,52.3194,139.5183,34.8796,34.8796,69.7592,139.5183,139.5183,139.5183,139.5183,69.7592,34.8796,34.8796
dining,9027.17,Cashback Credit Card,Cashback Credit Card,90.2717,45.1358,22.5679,45.1358,180.5434,22.5679,90.2717,22.5679,63.1902,45.1358,33.8519,45.1358,22.5679,22.5679,33.8519,90.2717,22.5679,22.5679,45.1358,90.2717,90.2717,90.2717,90.2717,45.1358,22.5679,22.5679
shopping,478.18,Millennia Credit Card,Millennia Credit Card,4.7818,14.3454,1.1955,2.3909,9.5636,1.1955,2.3909,1.1955,1.6736,2.3909,1.1955,14.3454,1.1955,1.1955,1.1955,14.3454,1.7932,2.3909,1.1955,14.3454,4.7818,4.7818,14.3454,1.1955,1.1955,2.3909
travel,11021.2,Diners Club Black,Diners Club Black,55.106,55.106,27.553,55.106,55.106,27.553,165.318,55.106,115.7226,55.106,68.8825,55.106,27.553,41.3295,82.659,55.106,13.7765,13.7765,82.659,55.106,55.106,55.106,55.106,137.765,55.106,41.3295
fuel,4829.04,BPCL Octane Credit Card,BPCL Octane Credit Card,24.1452,24.1452,120.726,24.1452,24.1452,6.0363,12.0726,6.0363,8.4508,24.1452,6.0363,24.1452,96.5808,6.0363,6.0363,24.1452,6.0363,6.0363,6.0363,24.1452,24.1452,24.1452,24.1452,12.0726,6.0363,6.0363
travel,8454.53,Diners Club Black,Amazon Pay Credit Card,42.2727,42.2727,21.1363,42.2727,42.2727,21.1363,126.818,42.2727,88.7726,42.2727,52.8408,42.2727,21.1363,31.7045,63.409,42.2727,10.5682,10.5682,63.409,42.2727,42.2727,42.2727,42.2727,105.6816,42.2727,31.7045
dining,11975.11,Cashback Credit Card,Cashback Credit Card,119.7511,59.8756,29.9378,59.8756,239.5022,29.9378,119.7511,29.9378,83.8258,59.8756,44.9067,59.8756,29.9378,29.9378,44.9067,119.7511,29.9378,29.9378,59.8756,119.7511,119.7511,119.7511,119.7511,59.8756,29.9378,29.9378
groceries,11543.44,Tata Neu Infinity Credit Card,Millennia Credit Card,115.4344,115.4344,28.8586,57.7172,115.4344,28.8586,28.8586,14.4293,20.201,57.7172,14.4293,115.4344,28.8586,14.4293,14.4293,115.4344,14.4293,14.4293,14.4293,173.1516,115.4344,115.4344,230.8688,28.8586,14.4293,14.4293
groceries,7121.04,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card,71.2104,71.2104,17.8026,35.6052,71.2104,17.8026,17.8026,8.9013,12.4618,35.6052,8.9013,71.2104,17.8026,8.9013,8.9013,71.2104,8.9013,8.9013,8.9013,106.8156,71.2104,71.2104,142.4208,17.8026,8.9013,8.9013
travel,13320.99,Diners Club Black,Diners Club Black,66.605,66.605,33.3025,66.605,66.605,33.3025,199.8149,66.605,139.8704,66.605,83.2562,66.605,33.3025,49.9537,99.9074,66.605,16.6512,16.6512,99.9074,66.605,66.605,66.605,66.605,166.5124,66.605,49.9537
fuel,1446.82,BPCL Octane Credit Card,BPCL Octane Credit Card,7.2341,7.2341,36.1705,7.2341,7.2341,1.8085,3.617,1.8085,2.5319,7.2341,1.8085,7.2341,28.9364,1.8085,1.8085,7.2341,1.8085,1.8085,1.8085,7.2341,7.2341,7.2341,7.2341,3.617,1.8085,1.8085
groceries,15749.61,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card,157.4961,157.4961,39.374,78.7481,157.4961,39.374,39.374,19.687,27.5618,78.7481,19.687,157.4961,39.374,19.687,19.687,157.4961,19.687,19.687,19.687,236.2442,157.4961,157.4961,314.9922,39.374,19.687,19.687
shopping,7870.03,Millennia Credit Card,Millennia Credit Card,78.7003,236.1009,19.6751,39.3501,157.4006,19.6751,39.3501,19.6751,27.5451,39.3501,19.6751,236.1009,19.6751,19.6751,19.6751,236.1009,29.5126,39.3501,19.6751,236.1009,78.7003,78.7003,236.1009,19.6751,19.6751,39.3501
dining,19622.68,Cashback Credit Card,Cashback Credit Card,196.2268,98.1134,49.0567,98.1134,392.4536,49.0567,196.2268,49.0567,137.3588,98.1134,73.585,98.1134,49.0567,49.0567,73.585,196.2268,49.0567,49.0567,98.1134,196.2268,196.2268,196.2268,196.2268,98.1134,49.0567,49.0567
shopping,7206.17,Millennia Credit Card,Millennia Credit Card,72.0617,216.1851,18.0154,36.0309,144.1234,18.0154,36.0309,18.0154,25.2216,36.0309,18.0154,216.1851,18.0154,18.0154,18.0154,216.1851,27.0231,36.0309,18.0154,216.1851,72.0617,72.0617,216.1851,18.0154,18.0154,36.0309
travel,14685.53,Diners Club Black,Diners Club Black,73.4276,73.4276,36.7138,73.4276,73.4276,36.7138,220.283,73.4276,154.1981,73.4276,91.7846,73.4276,36.7138,55.0707,110.1415,73.4276,18.3569,18.3569,110.1415,73.4276,73.4276,73.4276,73.4276,183.5691,73.4276,55.0707
groceries,14730.22,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card,147.3022,147.3022,36.8255,73.6511,147.3022,36.8255,36.8255,18.4128,25.7779,73.6511,18.4128,147.3022,36.8255,18.4128,18.4128,147.3022,18.4128,18.4128,18.4128,220.9533,147.3022,147.3022,294.6044,36.8255,18.4128,18.4128
shopping,7110.75,Millennia Credit Card,Millennia Credit Card,71.1075,213.3225,17.7769,35.5538,142.215,17.7769,35.5538,17.7769,24.8876,35.5538,17.7769,213.3225,17.7769,17.7769,17.7769,213.3225,26.6653,35.5538,17.7769,213.3225,71.1075,71.1075,213.3225,17.7769,17.7769,35.5538
travel,16624.63,Diners Club Black,Diners Club Black,83.1232,83.1232,41.5616,83.1232,83.1232,41.5616,249.3695,83.1232,174.5586,83.1232,103.9039,83.1232,41.5616,62.3424,124.6847,83.1232,20.7808,20.7808,124.6847,83.1232,83.1232,83.1232,83.1232,207.8079,83.1232,62.3424
dining,12671.54,Cashback Credit Card,White Credit Card,126.7154,63.3577,31.6789,63.3577,253.4308,31.6789,126.7154,31.6789,88.7008,63.3577,47.5183,63.3577,31.6789,31.6789,47.5183,126.7154,31.6789,31.6789,63.3577,126.7154,126.7154,126.7154,126.7154,63.3577,31.6789,31.6789
dining,835.98,Cashback Credit Card,Cashback Credit Card,8.3598,4.1799,2.0899,4.1799,16.7196,2.0899,8.3598,2.0899,5.8519,4.1799,3.1349,4.1799,2.0899,2.0899,3.1349,8.3598,2.0899,2.0899,4.1799,8.3598,8.3598,8.3598,8.3598,4.1799,2.0899,2.0899
travel,17727.23,Diners Club Black,Diners Club Black,88.6362,88.6362,44.3181,88.6362,88.6362,44.3181,265.9085,88.6362,186.1359,88.6362,110.7952,88.6362,44.3181,66.4771,132.9542,88.6362,22.159,22.159,132.9542,88.6362,88.6362,88.6362,88.6362,221.5904,88.6362,66.4771
fuel,10356.13,BPCL Octane Credit Card,SimplyCLICK Credit Card,51.7806,51.7806,258.9032,51.7806,51.7806,12.9452,25.8903,12.9452,18.1232,51.7806,12.9452,51.7806,207.1226,12.9452,12.9452,51.7806,12.9452,12.9452,12.9452,51.7806,51.7806,51.7806,51.7806,25.8903,12.9452,12.9452
travel,5793.61,Diners Club Black,Tata Neu Infinity Credit Card,28.968,28.968,14.484,28.968,28.968,14.484,86.9041,28.968,60.8329,28.968,36.2101,28.968,14.484,21.726,43.4521,28.968,7.242,7.242,43.4521,28.968,28.968,28.968,28.968,72.4201,28.968,21.726
fuel,5537.01,BPCL Octane Credit Card,League Platinum Credit Card,27.6851,27.6851,138.4253,27.6851,27.6851,6.9213,13.8425,6.9213,9.6898,27.6851,6.9213,27.6851,110.7402,6.9213,6.9213,27.6851,6.9213,6.9213,6.9213,27.6851,27.6851,27.6851,27.6851,13.8425,6.9213,6.9213
dining,17903.29,Cashback Credit Card,Cashback Credit Card,179.0329,89.5165,44.7582,89.5165,358.0658,44.7582,179.0329,44.7582,125.323,89.5165,67.1373,89.5165,44.7582,44.7582,67.1373,179.0329,44.7582,44.7582,89.5165,179.0329,179.0329,179.0329,179.0329,89.5165,44.7582,44.7582
travel,9974.44,Diners Club Black,Diners Club Black,49.8722,49.8722,24.9361,49.8722,49.8722,24.9361,149.6166,49.8722,104.7316,49.8722,62.3403,49.8722,24.9361,37.4042,74.8083,49.8722,12.468,12.468,74.8083,49.8722,49.8722,49.8722,49.8722,124.6805,49.8722,37.4042
groceries,5407.74,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card,54.0774,54.0774,13.5193,27.0387,54.0774,13.5193,13.5193,6.7597,9.4635,27.0387,6.7597,54.0774,13.5193,6.7597,6.7597,54.0774,6.7597,6.7597,6.7597,81.1161,54.0774,54.0774,108.1548,13.5193,6.7597,6.7597
dining,1670.65,Cashback Credit Card,Cashback Credit Card,16.7065,8.3533,4.1766,8.3533,33.413,4.1766,16.7065,4.1766,11.6946,8.3533,6.2649,8.3533,4.1766,4.1766,6.2649,16.7065,4.1766,4.1766,8.3533,16.7065,16.7065,16.7065,16.7065,8.3533,4.1766,4.1766
travel,10954.94,Diners Club Black,Diners Club Black,54.7747,54.7747,27.3874,54.7747,54.7747,27.3874,164.3241,54.7747,115.0269,54.7747,68.4684,54.7747,27.3874,41.081,82.162,54.7747,13.6937,13.6937,82.162,54.7747,54.7747,54.7747,54.7747,136.9368,54.7747,41.081
shopping,6625.61,Millennia Credit Card,Millennia Credit Card,66.2561,198.7683,16.564,33.1281,132.5122,16.564,33.1281,16.564,23.1896,33.1281,16.564,198.7683,16.564,16.564,16.564,198.7683,24.846,33.1281,16.564,198.7683,66.2561,66.2561,198.7683,16.564,16.564,33.1281
dining,12092.17,Cashback Credit Card,Cashback Credit Card,120.9217,60.4609,30.2304,60.4609,241.8434,30.2304,120.9217,30.2304,84.6452,60.4609,45.3456,60.4609,30.2304,30.2304,45.3456,120.9217,30.2304,30.2304,60.4609,120.9217,120.9217,120.9217,120.9217,60.4609,30.2304,30.2304
dining,7095.78,Cashback Credit Card,Cashback Credit Card,70.9578,35.4789,17.7394,35.4789,141.9156,17.7394,70.9578,17.7394,49.6705,35.4789,26.6092,35.4789,17.7394,17.7394,26.6092,70.9578,17.7394,17.7394,35.4789,70.9578,70.9578,70.9578,70.9578,35.4789,17.7394,17.7394
fuel,12335.54,BPCL Octane Credit Card,BPCL Octane Credit Card,61.6777,61.6777,308.3885,61.6777,61.6777,15.4194,30.8389,15.4194,21.5872,61.6777,15.4194,61.6777,246.7108,15.4194,15.4194,61.6777,15.4194,15.4194,15.4194,61.6777,61.6777,61.6777,61.6777,30.8389,15.4194,15.4194
shopping,1593.32,Millennia Credit Card,Millennia Credit Card,15.9332,47.7996,3.9833,7.9666,31.8664,3.9833,7.9666,3.9833,5.5766,7.9666,3.9833,47.7996,3.9833,3.9833,3.9833,47.7996,5.9749,7.9666,3.9833,47.7996,15.9332,15.9332,47.7996,3.9833,3.9833,7.9666
fuel,10310.41,BPCL Octane Credit Card,Millennia Credit Card,51.5521,51.5521,257.7603,51.5521,51.5521,12.888,25.776,12.888,18.0432,51.5521,12.888,51.5521,206.2082,12.888,12.888,51.5521,12.888,12.888,12.888,51.5521,51.5521,51.5521,51.5521,25.776,12.888,12.888
travel,16988.52,Diners Club Black,Diners Club Black,84.9426,84.9426,42.4713,84.9426,84.9426,42.4713,254.8278,84.9426,178.3795,84.9426,106.1783,84.9426,42.4713,63.7069,127.4139,84.9426,21.2356,21.2356,127.4139,84.9426,84.9426,84.9426,84.9426,212.3565,84.9426,63.7069
dining,792.5,Cashback Credit Card,Cashback Credit Card,7.925,3.9625,1.9812,3.9625,15.85,1.9812,7.925,1.9812,5.5475,3.9625,2.9719,3.9625,1.9812,1.9812,2.9719,7.925,1.9812,1.9812,3.9625,7.925,7.925,7.925,7.925,3.9625,1.9812,1.9812
fuel,7306.8,BPCL Octane Credit Card,Coral Credit Card,36.534,36.534,182.67,36.534,36.534,9.1335,18.267,9.1335,12.7869,36.534,9.1335,36.534,146.136,9.1335,9.1335,36.534,9.1335,9.1335,9.1335,36.534,36.534,36.534,36.534,18.267,9.1335,9.1335
dining,18981.59,Cashback Credit Card,Cashback Credit Card,189.8159,94.9079,47.454,94.9079,379.6318,47.454,189.8159,47.454,132.8711,94.9079,71.181,94.9079,47.454,47.454,71.181,189.8159,47.454,47.454,94.9079,189.8159,189.8159,189.8159,189.8159,94.9079,47.454,47.454
shopping,11521.04,Millennia Credit Card,Millennia Credit Card,115.2104,345.6312,28.8026,57.6052,230.4208,28.8026,57.6052,28.8026,40.3236,57.6052,28.8026,345.6312,28.8026,28.8026,28.8026,345.6312,43.2039,57.6052,28.8026,345.6312,115.2104,115.2104,345.6312,28.8026,28.8026,57.6052
dining,6356.27,Cashback Credit Card,Cashback Credit Card,63.5627,31.7814,15.8907,31.7814,127.1254,15.8907,63.5627,15.8907,44.4939,31.7814,23.836,31.7814,15.8907,15.8907,23.836,63.5627,15.8907,15.8907,31.7814,63.5627,63.5627,63.5627,63.5627,31.7814,15.8907,15.8907
shopping,615.68,Millennia Credit Card,Millennia Credit Card,6.1568,18.4704,1.5392,3.0784,12.3136,1.5392,3.0784,1.5392,2.1549,3.0784,1.5392,18.4704,1.5392,1.5392,1.5392,18.4704,2.3088,3.0784,1.5392,18.4704,6.1568,6.1568,18.4704,1.5392,1.5392,3.0784
groceries,7801.05,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card,78.0105,78.0105,19.5026,39.0053,78.0105,19.5026,19.5026,9.7513,13.6518,39.0053,9.7513,78.0105,19.5026,9.7513,9.7513,78.0105,9.7513,9.7513,9.7513,117.0158,78.0105,78.0105,156.021,19.5026,9.7513,9.7513
fuel,15521.79,BPCL Octane Credit Card,BankBazaar Credit Card,77.609,77.609,388.0448,77.609,77.609,19.4022,38.8045,19.4022,27.1631,77.609,19.4022,77.609,310.4358,19.4022,19.4022,77.609,19.4022,19.4022,19.4022,77.609,77.609,77.609,77.609,38.8045,19.4022,19.4022
fuel,13910.21,BPCL Octane Credit Card,Coral Credit Card,69.551,69.551,347.7552,69.551,69.551,17.3878,34.7755,17.3878,24.3429,69.551,17.3878,69.551,278.2042,17.3878,17.3878,69.551,17.3878,17.3878,17.3878,69.551,69.551,69.551,69.551,34.7755,17.3878,17.3878
shopping,9095.65,Millennia Credit Card,Diners Club Black,90.9565,272.8695,22.7391,45.4782,181.913,22.7391,45.4782,22.7391,31.8348,45.4782,22.7391,272.8695,22.7391,22.7391,22.7391,272.8695,34.1087,45.4782,22.7391,272.8695,90.9565,90.9565,272.8695,22.7391,22.7391,45.4782
fuel,13390.01,BPCL Octane Credit Card,Elite Credit Card,66.9501,66.9501,334.7502,66.9501,66.9501,16.7375,33.475,16.7375,23.4325,66.9501,16.7375,66.9501,267.8002,16.7375,16.7375,66.9501,16.7375,16.7375,16.7375,66.9501,66.9501,66.9501,66.9501,33.475,16.7375,16.7375
fuel,17042.1,BPCL Octane Credit Card,Super Value Titanium Credit Card,85.2105,85.2105,426.0525,85.2105,85.2105,21.3026,42.6052,21.3026,29.8237,85.2105,21.3026,85.2105,340.842,21.3026,21.3026,85.2105,21.3026,21.3026,21.3026,85.2105,85.2105,85.2105,85.2105,42.6052,21.3026,21.3026
fuel,10224.24,BPCL Octane Credit Card,BPCL Octane Credit Card,51.1212,51.1212,255.606,51.1212,51.1212,12.7803,25.5606,12.7803,17.8924,51.1212,12.7803,51.1212,204.4848,12.7803,12.7803,51.1212,12.7803,12.7803,12.7803,51.1212,51.1212,51.1212,51.1212,25.5606,12.7803,12.7803
travel,15862.11,Diners Club Black,Diners Club Black,79.3106,79.3106,39.6553,79.3106,79.3106,39.6553,237.9317,79.3106,166.5522,79.3106,99.1382,79.3106,39.6553,59.4829,118.9658,79.3106,19.8276,19.8276,118.9658,79.3106,79.3106,79.3106,79.3106,198.2764,79.3106,59.4829
dining,623.05,Cashback Credit Card,Cashback Credit Card,6.2305,3.1152,1.5576,3.1152,12.461,1.5576,6.2305,1.5576,4.3613,3.1152,2.3364,3.1152,1.5576,1.5576,2.3364,6.2305,1.5576,1.5576,3.1152,6.2305,6.2305,6.2305,6.2305,3.1152,1.5576,1.5576
fuel,9401.38,BPCL Octane Credit Card,Diners Club Black,47.0069,47.0069,235.0345,47.0069,47.0069,11.7517,23.5034,11.7517,16.4524,47.0069,11.7517,47.0069,188.0276,11.7517,11.7517,47.0069,11.7517,11.7517,11.7517,47.0069,47.0069,47.0069,47.0069,23.5034,11.7517,11.7517
shopping,6254.89,Millennia Credit Card,PVR Platinum Credit Card,62.5489,187.6467,15.6372,31.2745,125.0978,15.6372,31.2745,15.6372,21.8921,31.2745,15.6372,187.6467,15.6372,15.6372,15.6372,187.6467,23.4558,31.2745,15.6372,187.6467,62.5489,62.5489,187.6467,15.6372,15.6372,31.2745
dining,16484.45,Cashback Credit Card,Cashback Credit Card,164.8445,82.4223,41.2111,82.4223,329.689,41.2111,164.8445,41.2111,115.3911,82.4223,61.8167,82.4223,41.2111,41.2111,61.8167,164.8445,41.2111,41.2111,82.4223,164.8445,164.8445,164.8445,164.8445,82.4223,41.2111,41.2111
fuel,12882.54,BPCL Octane Credit Card,BPCL Octane Credit Card,64.4127,64.4127,322.0635,64.4127,64.4127,16.1032,32.2064,16.1032,22.5444,64.4127,16.1032,64.4127,257.6508,16.1032,16.1032,64.4127,16.1032,16.1032,16.1032,64.4127,64.4127,64.4127,64.4127,32.2064,16.1032,16.1032
groceries,6955.84,Tata Neu Infinity Credit Card,Super Value Titanium Credit Card,69.5584,69.5584,17.3896,34.7792,69.5584,17.3896,17.3896,8.6948,12.1727,34.7792,8.6948,69.5584,17.3896,8.6948,8.6948,69.5584,8.6948,8.6948,8.6948,104.3376,69.5584,69.5584,139.1168,17.3896,8.6948,8.6948
travel,15378.85,Diners Club Black,Diners Club Black,76.8942,76.8942,38.4471,76.8942,76.8942,38.4471,230.6828,76.8942,161.4779,76.8942,96.1178,76.8942,38.4471,57.6707,115.3414,76.8942,19.2236,19.2236,115.3414,76.8942,76.8942,76.8942,76.8942,192.2356,76.8942,57.6707
groceries,18223.17,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card,182.2317,182.2317,45.5579,91.1158,182.2317,45.5579,45.5579,22.779,31.8905,91.1158,22.779,182.2317,45.5579,22.779,22.779,182.2317,22.779,22.779,22.779,273.3475,182.2317,182.2317,364.4634,45.5579,22.779,22.779
shopping,10410.23,Millennia Credit Card,Millennia Credit Card,104.1023,312.3069,26.0256,52.0511,208.2046,26.0256,52.0511,26.0256,36.4358,52.0511,26.0256,312.3069,26.0256,26.0256,26.0256,312.3069,39.0384,52.0511,26.0256,312.3069,104.1023,104.1023,312.3069,26.0256,26.0256,52.0511
travel,6520.95,Diners Club Black,Super Value Titanium Credit Card,32.6047,32.6047,16.3024,32.6047,32.6047,16.3024,97.8142,32.6047,68.47,32.6047,40.7559,32.6047,16.3024,24.4536,48.9071,32.6047,8.1512,8.1512,48.9071,32.6047,32.6047,32.6047,32.6047,81.5119,32.6047,24.4536
